species,port,gear,year,qtr,n,landing,coverage
CLPR,ERK,TWL,1982,4,6,0,1
CNRY,ERK,TWL,1982,4,6,0,1
DBRK,ERK,TWL,1982,4,6,0,1
GSRK,ERK,TWL,1982,4,6,0,1
POP,ERK,TWL,1982,4,6,0,1
SPKL,ERK,TWL,1982,4,6,0,1
WDOW,ERK,TWL,1982,4,6,66716,0
YTRK,ERK,TWL,1982,4,6,0,1
BCAC,BRG,TWL,1982,1,2,0,1
BLCK,BRG,TWL,1982,1,2,0,1
CLPR,BRG,TWL,1982,1,2,0,1
CNRY,BRG,TWL,1982,1,2,0,1
DBRK,BRG,TWL,1982,1,2,0,1
GSRK,BRG,TWL,1982,1,2,0,1
POP,BRG,TWL,1982,1,2,0,1
SPKL,BRG,TWL,1982,1,2,0,1
WDOW,BRG,TWL,1982,1,2,1809,0
YTRK,BRG,TWL,1982,1,2,0,1
BCAC,BRG,TWL,1982,3,6,0,1
BLCK,BRG,TWL,1982,3,6,0,1
CLPR,BRG,TWL,1982,3,6,0,1
CNRY,BRG,TWL,1982,3,6,0,1
DBRK,BRG,TWL,1982,3,6,0,1
GSRK,BRG,TWL,1982,3,6,0,0.833333333333333
POP,BRG,TWL,1982,3,6,0,1
SPKL,BRG,TWL,1982,3,6,0,1
WDOW,BRG,TWL,1982,3,6,81226,0
YTRK,BRG,TWL,1982,3,6,0,0.833333333333333
BCAC,BRG,TWL,1981,4,2,0,1
BLCK,BRG,TWL,1981,4,2,0,1
CLPR,BRG,TWL,1981,4,2,0,1
CNRY,BRG,TWL,1981,4,2,0,1
DBRK,BRG,TWL,1981,4,2,0,1
GSRK,BRG,TWL,1981,4,2,0,1
POP,BRG,TWL,1981,4,2,0,1
SPKL,BRG,TWL,1981,4,2,0,1
WDOW,BRG,TWL,1981,4,2,0,0
YTRK,BRG,TWL,1981,4,2,0,1
BCAC,BRG,TWL,1982,4,2,0,1
BLCK,BRG,TWL,1982,4,2,0,1
CLPR,BRG,TWL,1982,4,2,0,1
CNRY,BRG,TWL,1982,4,2,0,1
DBRK,BRG,TWL,1982,4,2,0,1
GSRK,BRG,TWL,1982,4,2,0,1
POP,BRG,TWL,1982,4,2,0,1
SPKL,BRG,TWL,1982,4,2,0,1
WDOW,BRG,TWL,1982,4,2,35050,0
YTRK,BRG,TWL,1982,4,2,0,1
BCAC,BDG,TWL,1982,3,7,0,1
BLCK,BDG,TWL,1982,3,7,0,1
CLPR,BDG,TWL,1982,3,7,0,1
CNRY,BDG,TWL,1982,3,7,0,1
DBRK,BDG,TWL,1982,3,7,0,1
GSRK,BDG,TWL,1982,3,7,0,1
POP,BDG,TWL,1982,3,7,0,1
SPKL,BDG,TWL,1982,3,7,0,1
WDOW,BDG,TWL,1982,3,7,2030025,0
YTRK,BDG,TWL,1982,3,7,0,0.714285714285714
BCAC,BDG,TWL,1981,4,18,0,1
BLCK,BDG,TWL,1981,4,18,0,1
CLPR,BDG,TWL,1981,4,18,0,1
CNRY,BDG,TWL,1981,4,18,0,1
DBRK,BDG,TWL,1981,4,18,0,1
GSRK,BDG,TWL,1981,4,18,0,1
POP,BDG,TWL,1981,4,18,0,1
SPKL,BDG,TWL,1981,4,18,0,1
WDOW,BDG,TWL,1981,4,18,292143,0
YTRK,BDG,TWL,1981,4,18,0,1
BCAC,BDG,TWL,1982,4,2,0,1
BLCK,BDG,TWL,1982,4,2,0,1
CLPR,BDG,TWL,1982,4,2,0,1
CNRY,BDG,TWL,1982,4,2,0,1
DBRK,BDG,TWL,1982,4,2,0,1
GSRK,BDG,TWL,1982,4,2,0,1
POP,BDG,TWL,1982,4,2,0,1
SPKL,BDG,TWL,1982,4,2,0,1
WDOW,BDG,TWL,1982,4,2,749995,0
YTRK,BDG,TWL,1982,4,2,0,1
BCAC,OSF,TWL,1982,1,9,0,1
BLCK,OSF,TWL,1982,1,9,0,1
CLPR,OSF,TWL,1982,1,9,0,1
CNRY,OSF,TWL,1982,1,9,0,1
DBRK,OSF,TWL,1982,1,9,0,1
GSRK,OSF,TWL,1982,1,9,0,1
POP,OSF,TWL,1982,1,9,0,1
SPKL,OSF,TWL,1982,1,9,0,1
WDOW,OSF,TWL,1982,1,9,218403,0
YTRK,OSF,TWL,1982,1,9,0,1
BCAC,OSF,TWL,1982,2,2,0,1
BLCK,OSF,TWL,1982,2,2,0,1
CLPR,OSF,TWL,1982,2,2,0,1
CNRY,OSF,TWL,1982,2,2,0,1
DBRK,OSF,TWL,1982,2,2,0,1
GSRK,OSF,TWL,1982,2,2,0,1
POP,OSF,TWL,1982,2,2,0,1
SPKL,OSF,TWL,1982,2,2,0,1
WDOW,OSF,TWL,1982,2,2,0,0.5
YTRK,OSF,TWL,1982,2,2,0,1
BCAC,OSF,TWL,1982,3,4,0,1
BLCK,OSF,TWL,1982,3,4,0,1
CLPR,OSF,TWL,1982,3,4,0,1
CNRY,OSF,TWL,1982,3,4,0,1
DBRK,OSF,TWL,1982,3,4,0,1
GSRK,OSF,TWL,1982,3,4,0,1
POP,OSF,TWL,1982,3,4,0,1
SPKL,OSF,TWL,1982,3,4,0,1
WDOW,OSF,TWL,1982,3,4,747537,0
YTRK,OSF,TWL,1982,3,4,0,1
BCAC,OSF,TWL,1981,4,3,0,1
BLCK,OSF,TWL,1981,4,3,0,1
CLPR,OSF,TWL,1981,4,3,0,1
CNRY,OSF,TWL,1981,4,3,0,1
DBRK,OSF,TWL,1981,4,3,0,1
GSRK,OSF,TWL,1981,4,3,0,1
POP,OSF,TWL,1981,4,3,0,1
SPKL,OSF,TWL,1981,4,3,0,1
WDOW,OSF,TWL,1981,4,3,12344,0
YTRK,OSF,TWL,1981,4,3,0,1
BCAC,OSF,TWL,1982,4,2,0,1
BLCK,OSF,TWL,1982,4,2,0,1
CLPR,OSF,TWL,1982,4,2,0,1
CNRY,OSF,TWL,1982,4,2,0,1
DBRK,OSF,TWL,1982,4,2,0,1
GSRK,OSF,TWL,1982,4,2,0,1
POP,OSF,TWL,1982,4,2,0,1
SPKL,OSF,TWL,1982,4,2,0,1
WDOW,OSF,TWL,1982,4,2,35244,0
YTRK,OSF,TWL,1982,4,2,0,1
BCAC,MNT,TWL,1982,1,7,0,1
BLCK,MNT,TWL,1982,1,7,0,1
CLPR,MNT,TWL,1982,1,7,0,1
CNRY,MNT,TWL,1982,1,7,0,1
DBRK,MNT,TWL,1982,1,7,0,1
GSRK,MNT,TWL,1982,1,7,0,1
POP,MNT,TWL,1982,1,7,0,1
SPKL,MNT,TWL,1982,1,7,0,1
WDOW,MNT,TWL,1982,1,7,0,0
YTRK,MNT,TWL,1982,1,7,0,1
BCAC,MNT,TWL,1982,3,1,0,1
BLCK,MNT,TWL,1982,3,1,0,1
CLPR,MNT,TWL,1982,3,1,0,1
CNRY,MNT,TWL,1982,3,1,0,1
DBRK,MNT,TWL,1982,3,1,0,1
GSRK,MNT,TWL,1982,3,1,0,1
POP,MNT,TWL,1982,3,1,0,1
SPKL,MNT,TWL,1982,3,1,0,1
WDOW,MNT,TWL,1982,3,1,5551,0
YTRK,MNT,TWL,1982,3,1,0,1
BCAC,MNT,TWL,1981,4,1,0,1
BLCK,MNT,TWL,1981,4,1,0,1
CLPR,MNT,TWL,1981,4,1,0,1
CNRY,MNT,TWL,1981,4,1,0,1
DBRK,MNT,TWL,1981,4,1,0,1
GSRK,MNT,TWL,1981,4,1,0,1
POP,MNT,TWL,1981,4,1,0,1
SPKL,MNT,TWL,1981,4,1,0,1
WDOW,MNT,TWL,1981,4,1,0,0
YTRK,MNT,TWL,1981,4,1,0,1
BCAC,MNT,TWL,1982,4,2,4825,0.5
BLCK,MNT,TWL,1982,4,2,0,1
CLPR,MNT,TWL,1982,4,2,2408,0.5
CNRY,MNT,TWL,1982,4,2,0,1
DBRK,MNT,TWL,1982,4,2,0,1
GSRK,MNT,TWL,1982,4,2,0,1
POP,MNT,TWL,1982,4,2,0,1
SPKL,MNT,TWL,1982,4,2,0,0.5
WDOW,MNT,TWL,1982,4,2,113356,1
YTRK,MNT,TWL,1982,4,2,0,1
BCAC,MRO,TWL,1982,3,1,0,1
BLCK,MRO,TWL,1982,3,1,0,1
CLPR,MRO,TWL,1982,3,1,4798,1
CNRY,MRO,TWL,1982,3,1,0,1
DBRK,MRO,TWL,1982,3,1,0,1
GSRK,MRO,TWL,1982,3,1,0,1
POP,MRO,TWL,1982,3,1,0,1
SPKL,MRO,TWL,1982,3,1,13438,1
WDOW,MRO,TWL,1982,3,1,95985,1
YTRK,MRO,TWL,1982,3,1,26877,1
